start_time,end_time,cpu_no,usage,during_time
1727940489664145.8,1727940490218236.5,Avg,0.520833,554090.75
1727940491123736.5,1727940492022646.5,Avg,0.462963,898910.0
1727940493044197.2,1727940494019196.8,Avg,0.520833,974999.5
1727940494952999.5,1727940495895950.8,Avg,0.462963,942951.25
1727940496845996.5,1727940497777728.0,Avg,0.578704,931731.5
1727940498719131.8,1727940499718403.0,Avg,0.572917,999271.25
1727940500693080.2,1727940501627888.2,Avg,0.520833,934808.0
1727940502558195.0,1727940503504320.5,Avg,0.416667,946125.5
1727940504431909.8,1727940505364867.5,Avg,0.520833,932957.75
1727940506319556.8,1727940507292359.2,Avg,0.636574,972802.5
1727940508242759.0,1727940509201427.5,Avg,0.46875,958668.5
1727940510333515.5,1727940511290096.0,Avg,0.520833,956580.5
1727940512253309.5,1727940513196603.8,Avg,0.520833,943294.25
1727940514141040.8,1727940515181616.2,Avg,0.677083,1040575.5
1727940516273257.0,1727940517244544.0,Avg,0.520833,971287.0
1727940518319979.2,1727940519408235.8,Avg,0.568182,1088256.5
1727940520406972.8,1727940521447823.2,Avg,0.677083,1040850.5
1727940522534299.0,1727940523500830.5,Avg,0.625,966531.5
1727940524477984.2,1727940525527002.5,Avg,0.568182,1049018.25
1727940526495995.5,1727940527457104.5,Avg,0.46875,961109.0
1727940528418031.0,1727940529379282.2,Avg,0.520833,961251.25
1727940530364390.5,1727940531413020.0,Avg,0.520833,1048629.5
1727940532443898.2,1727940533562557.8,Avg,0.61553,1118659.5
1727940534649354.0,1727940535675861.0,Avg,0.572917,1026507.0
1727940536656287.2,1727940537686074.0,Avg,0.729167,1029786.75
1727940538798950.2,1727940539910364.8,Avg,0.994318,1111414.5
1727940540997089.8,1727940542060469.8,Avg,1.089015,1063380.0
1727940543074860.8,1727940544020421.5,Avg,1.09375,945560.75
1727940544957184.0,1727940546030907.2,Avg,0.804924,1073723.25
1727940547083647.2,1727940548077942.8,Avg,0.46875,994295.5
1727940549059068.2,1727940550042369.8,Avg,0.572917,983301.5
1727940551112950.0,1727940552200553.2,Avg,0.710227,1087603.25
1727940553300403.0,1727940554305993.2,Avg,0.625,1005590.25
1727940555330673.5,1727940556347822.8,Avg,0.625,1017149.25
1727940557330764.2,1727940558314753.8,Avg,0.520833,983989.5
1727940559266050.2,1727940560194585.2,Avg,0.578704,928535.0
1727940561120950.2,1727940562042914.5,Avg,0.520833,921964.25
1727940562956113.0,1727940563877422.8,Avg,0.520833,921309.75
1727940564788983.2,1727940565702289.0,Avg,0.520833,913305.75
1727940566622013.8,1727940567533665.2,Avg,0.520833,911651.5
1727940568447376.5,1727940569352882.5,Avg,0.462963,905506.0
1727940570265818.0,1727940571169202.8,Avg,0.462963,903384.75
1727940572075672.5,1727940572993603.8,Avg,0.578704,917931.25
1727940573902636.2,1727940574810847.5,Avg,0.520833,908211.25
1727940575727581.2,1727940576644991.2,Avg,0.636574,917410.0
1727940577559358.2,1727940578471528.0,Avg,0.636574,912169.75
1727940579388096.8,1727940580296294.8,Avg,0.520833,908198.0
1727940581219449.0,1727940582149788.8,Avg,0.578704,930339.75
1727940583076656.5,1727940583984832.2,Avg,0.520833,908175.75
1727940584891472.8,1727940585813954.8,Avg,0.520833,922482.0
1727940586740776.8,1727940587662209.8,Avg,0.462963,921433.0
1727940588572047.2,1727940589489084.8,Avg,0.694444,917037.5
1727940590408834.8,1727940591391729.5,Avg,0.520833,982894.75
1727940592302902.8,1727940593129589.8,Avg,0.455729,826687.0
1727940593948669.2,1727940594765060.2,Avg,0.455729,816391.0
1727940595577702.2,1727940596416653.8,Avg,0.578704,838951.5
1727940597337219.8,1727940598231670.0,Avg,0.462963,894450.25
1727940599088116.5,1727940599974456.8,Avg,0.462963,886340.25
1727940600767909.5,1727940601537171.5,Avg,0.520833,769262.0
1727940602301124.5,1727940603079535.0,Avg,0.520833,778410.5
1727940603833207.8,1727940604565199.5,Avg,0.520833,731991.75
1727940605286038.0,1727940606000750.5,Avg,0.520833,714712.5
1727940606713716.0,1727940607430815.2,Avg,0.446429,717099.25
1727940608140823.2,1727940608858298.0,Avg,0.372024,717474.75
1727940609571017.2,1727940610302357.0,Avg,0.520833,731339.75
1727940611018715.8,1727940611729906.0,Avg,0.520833,711190.25
1727940612449868.2,1727940613169846.5,Avg,0.520833,719978.25
1727940613895940.5,1727940614612315.0,Avg,0.520833,716374.5
1727940615325472.8,1727940616028780.5,Avg,0.520833,703307.75
1727940616768753.8,1727940617532008.2,Avg,0.455729,763254.5
1727940618258936.2,1727940618979071.0,Avg,0.669643,720134.75
1727940619697250.0,1727940620417568.2,Avg,0.390625,720318.25
1727940621129269.0,1727940621832867.5,Avg,0.595238,703598.5
1727940622541170.5,1727940623242516.5,Avg,0.520833,701346.0
1727940623960497.5,1727940624666241.8,Avg,0.520833,705744.25
1727940625372410.5,1727940626100892.0,Avg,0.585938,728481.5
1727940626822482.0,1727940627533875.5,Avg,0.520833,711393.5
1727940628214192.0,1727940628899034.5,Avg,0.520833,684842.5
1727940629575891.2,1727940630254226.8,Avg,0.446429,678335.5
1727940630938911.2,1727940631611612.5,Avg,0.520833,672701.25
1727940632303672.5,1727940633025712.2,Avg,0.520833,722039.75
1727940633875746.8,1727940634030579.5,Avg,1.041667,154832.75
1727940634030579.5,1727940634232279.5,Avg,0.78125,201700.0
1727940634232279.5,1727940634439754.2,Avg,0.260417,207474.75
1727940634439754.2,1727940634639974.5,Avg,0.260417,200220.25
1727940634639974.5,1727940634843192.0,Avg,0.0,203217.5
1727940634843192.0,1727940635045992.2,Avg,0.520833,202800.25
1727940635045992.2,1727940635249347.2,Avg,0.260417,203355.0
1727940635249347.2,1727940635452175.5,Avg,0.520833,202828.25
1727940635452175.5,1727940635655793.5,Avg,0.260417,203618.0
1727940635655793.5,1727940635858399.8,Avg,0.260417,202606.25
1727940635858399.8,1727940636061365.2,Avg,0.260417,202965.5
1727940636061365.2,1727940636263487.2,Avg,0.260417,202122.0
1727940636263487.2,1727940636465504.8,Avg,0.260417,202017.5
1727940636465504.8,1727940636668620.2,Avg,0.260417,203115.5
1727940636668620.2,1727940636871986.8,Avg,0.78125,203366.5
1727940636871986.8,1727940637075930.0,Avg,0.260417,203943.25
1727940637075930.0,1727940637279057.8,Avg,0.260417,203127.75
1727940637279057.8,1727940637482430.5,Avg,0.260417,203372.75
1727940637482430.5,1727940637686002.2,Avg,0.260417,203571.75
1727940637686002.2,1727940637888869.2,Avg,0.520833,202867.0
1727940637888869.2,1727940638092491.5,Avg,0.520833,203622.25
1727940638092491.5,1727940638295539.0,Avg,0.260417,203047.5
1727940638295539.0,1727940638499698.0,Avg,0.173611,204159.0
1727940638499698.0,1727940638702587.2,Avg,0.260417,202889.25
1727940638702587.2,1727940638905082.0,Avg,0.520833,202494.75
1727940638905082.0,1727940639107627.5,Avg,0.260417,202545.5
1727940639107627.5,1727940639310082.8,Avg,0.260417,202455.25
1727940639310082.8,1727940639513436.2,Avg,0.260417,203353.5
1727940639513436.2,1727940639716526.5,Avg,0.260417,203090.25
1727940639716526.5,1727940639920668.0,Avg,0.260417,204141.5
1727940639920668.0,1727940640123949.8,Avg,0.520833,203281.75
1727940640123949.8,1727940640327049.5,Avg,0.260417,203099.75
