time,metrics
1727940490718397.0,{'=recvTokenSize': 4.0}
1727940490739292.5,{'=QueueSize': 1.0}
1727940490744390.2,{'=deviceKvCache': 1978.0}
1727940490744432.5,"{'+WAITING': -1.0, '+RUNNING': 1.0}"
1727940490744456.0,{'=QueueSize': 0.0}
1727940490744513.2,{'=QueueSize': 1.0}
1727940490798665.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490798779.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490865825.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490865950.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490888013.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490888132.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490908268.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490908374.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490928276.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490928351.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490948304.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490948382.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490968246.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490968310.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940490988253.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940490988326.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491008193.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491008304.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491028102.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491028170.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491048060.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491048135.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491067973.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491068071.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491087862.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491087927.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491107796.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491107862.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491127668.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491127731.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491147579.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491147661.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491167470.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491167560.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491187304.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491187372.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491207144.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491207215.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491227132.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491227205.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491247042.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491247117.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491266982.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491267057.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491286810.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491286878.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491306738.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491306839.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
