,time,metrics,=recvTokenSize,=QueueSize,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize
1,1727940490718397.0,{'=recvTokenSize': 4.0},4.0,,,,,,,
2,1727940490739292.5,{'=QueueSize': 1.0},,1.0,,,,,,
5,1727940490744390.2,{'=deviceKvCache': 1978.0},,,1978.0,,,,,
6,1727940490744432.5,"{'+WAITING': -1.0, '+RUNNING': 1.0}",,,,-1.0,1.0,,,
7,1727940490744456.0,{'=QueueSize': 0.0},,0.0,,,,,,
8,1727940490744513.2,{'=QueueSize': 1.0},,1.0,,,,,,
10,1727940490798665.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
12,1727940490798779.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
14,1727940490865825.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
16,1727940490865950.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
18,1727940490888013.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
20,1727940490888132.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
22,1727940490908268.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
24,1727940490908374.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
26,1727940490928276.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
28,1727940490928351.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
30,1727940490948304.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
32,1727940490948382.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
34,1727940490968246.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
36,1727940490968310.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
38,1727940490988253.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
40,1727940490988326.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
42,1727940491008193.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
44,1727940491008304.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
46,1727940491028102.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
48,1727940491028170.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
50,1727940491048060.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
52,1727940491048135.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
54,1727940491067973.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
56,1727940491068071.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
58,1727940491087862.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
60,1727940491087927.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
62,1727940491107796.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
64,1727940491107862.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
66,1727940491127668.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
68,1727940491127731.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
